ENDEKSA_IL,ENDEKSA_IL_AD,ENDEKSA_ILCE,ENDEKSA_ILCE_AD,LATLOT,SLUG
10,Balıkesir,1418,İvrindi,[27.4170055515308, 39.5179574131152],balikesir-ivrindi
10,Balıkesir,1462,Kepsut,[28.2679860234748, 39.6934745927678],balikesir-kepsut
10,Balıkesir,1514,Manyas,[27.9337443832579, 40.0525924624997],balikesir-manyas
10,Balıkesir,1608,Savaştepe,[27.6613382292655, 39.4248574629505],balikesir-savastepe
10,Balıkesir,1619,Sındırgı,[28.2975536414548, 39.2356797410719],balikesir-sindirgi
10,Balıkesir,1644,Susurluk,[28.1462142226316, 39.907486074872],balikesir-susurluk
10,Balıkesir,1824,Marmara,[27.601827221439, 40.6027500807868],balikesir-marmara
10,Balıkesir,1928,Gömeç,[26.8717882175493, 39.3708085028546],balikesir-gomec
10,Balıkesir,2077,Altıeylül,[27.8859421937115, 39.5529765998772],balikesir-altieylul
10,Balıkesir,2078,Karesi,[27.8496349681289, 39.7741928851203],balikesir-karesi
10,Balıkesir,9990,Balıkesir Il Geneli,,Balıkesir Il Geneli
11,Bilecik,1192,Bilecik Merkez,[29.9545967442875, 40.1632918238443],bilecik-bilecik-merkez
11,Bilecik,1210,Bozüyük,[29.9453642168937, 39.8396017629916],bilecik-bozuyuk
11,Bilecik,1359,Gölpazarı,[30.306686867844, 40.2589896637282],bilecik-golpazari
11,Bilecik,1559,Osmaneli,[29.9884974698687, 40.3789487052529],bilecik-osmaneli
11,Bilecik,1571,Pazaryeri,[29.8664593910285, 40.0101889827243],bilecik-pazaryeri
11,Bilecik,1636,Söğüt,[30.2147669539837, 40.0148841343577],bilecik-sogut
11,Bilecik,1857,Yenipazar,[30.5156751063366, 40.1930389806657],bilecik-yenipazar
11,Bilecik,1948,İnhisar,[30.4151171997934, 40.06800796044],bilecik-inhisar
12,Bingöl,1193,Bingöl Merkez,[40.5058524125251, 38.9409793417647],bingol-bingol-merkez
12,Bingöl,1344,Genç,[40.5918737417801, 38.6787795973531],bingol-genc
12,Bingöl,1446,Karlıova,[40.9524475810052, 39.2583466355274],bingol-karliova
12,Bingöl,1475,Kiğı,[40.2941095358731, 39.296390908719],bingol-kigi
12,Bingöl,1633,Solhan,[41.0140806718494, 38.9218595689232],bingol-solhan
12,Bingöl,1750,Adaklı,[40.565174752323, 39.2221096538147],bingol-adakli
12,Bingöl,1855,Yayladere,[40.0659000207074, 39.2089132422024],bingol-yayladere
12,Bingöl,1996,Yedisu,[40.4937183688626, 39.4402357719964],bingol-yedisu
13,Bitlis,1106,Adilcevaz,[42.8742364780952, 38.7899669298551],bitlis-adilcevaz
13,Bitlis,1112,Ahlat,[42.3683819337633, 38.7928952407661],bitlis-ahlat
13,Bitlis,1196,Bitlis Merkez,[42.0983939897526, 38.3243278373156],bitlis-bitlis-merkez
13,Bitlis,1394,Hizan,[42.5085081490418, 38.1618418000014],bitlis-hizan
13,Bitlis,1537,Mutki,[41.763679928924, 38.4449075646154],bitlis-mutki
13,Bitlis,1669,Tatvan,[42.5080438692514, 38.4952891023319],bitlis-tatvan
13,Bitlis,1798,Güroymak,[42.0753643679847, 38.5886364008676],bitlis-guroymak
14,Bolu,1346,Gerede,[32.3183955731329, 40.717538663979],bolu-gerede
14,Bolu,1364,Göynük,[30.8129487929117, 40.3340528906807],bolu-goynuk
14,Bolu,1466,Kıbrıscık,[31.9025512529686, 40.4531790511588],bolu-kibriscik
14,Bolu,1522,Mengen,[32.0577527356763, 40.9274689540136],bolu-mengen
14,Bolu,1531,Mudurnu,[31.1778027867787, 40.5038271527923],bolu-mudurnu
14,Bolu,1610,Seben,[31.5830105474216, 40.4221808732635],bolu-seben
14,Bolu,1916,Dörtdivan,[32.0353434065746, 40.6452007573307],bolu-dortdivan
14,Bolu,1997,Yeniçağa,[32.027830470287, 40.7999118144096],bolu-yenicaga
14,Bolu,9986,Bolu Il Geneli,,Bolu Il Geneli
15,Burdur,1109,Ağlasun,[30.6056901244612, 37.6157723456802],burdur-aglasun
15,Burdur,1211,Bucak,[30.6104314221536, 37.3827260558878],burdur-bucak
15,Burdur,1215,Burdur Merkez,[30.2051521674471, 37.6241253572072],burdur-burdur-merkez
15,Burdur,1357,Gölhisar,[29.4898180840808, 37.0879640188301],burdur-golhisar
15,Burdur,1672,Tefenni,[29.7820945753736, 37.2647719569288],burdur-tefenni
15,Burdur,1728,Yeşilova,[29.7803121526307, 37.5825856595923],burdur-yesilova
15,Burdur,1813,Karamanlı,[29.8679330363836, 37.3863010083107],burdur-karamanli
15,Burdur,1816,Kemer,[30.0740822470466, 37.376035013628],burdur-kemer
15,Burdur,1874,Altınyayla,[29.4898632294984, 36.9441763849449],burdur-altinyayla
15,Burdur,1899,Çavdır,[29.7028527853851, 37.1099432609963],burdur-cavdir
15,Burdur,1903,Çeltikçi,[30.4484222717217, 37.5342434357822],burdur-celtikci
16,Bursa,1343,Gemlik,[29.1565729544545, 40.4433005715982],bursa-gemlik
16,Bursa,1411,İnegöl,[29.5401457618362, 40.0238851828985],bursa-inegol
16,Bursa,1420,İznik,[29.704249969775, 40.473748915308],bursa-iznik
16,Bursa,1434,Karacabey,[28.3707594958411, 40.2481315521804],bursa-karacabey
16,Bursa,1457,Keles,[29.2578305810624, 39.887770969771],bursa-keles
16,Bursa,1530,Mudanya,[28.7722646894498, 40.3287536217133],bursa-mudanya
16,Bursa,1535,Mustafakemalpaşa,[28.5188181484758, 39.977552457628],bursa-mustafakemalpasa
16,Bursa,1553,Orhaneli,[28.9400400704456, 39.9242260645066],bursa-orhaneli
16,Bursa,1554,Orhangazi,[29.3789766776357, 40.4554624575643],bursa-orhangazi
16,Bursa,1725,Yenişehir,[29.6294775981513, 40.2674711756354],bursa-yenisehir
16,Bursa,1783,Büyükorhan,[28.8614811125553, 39.7343201772577],bursa-buyukorhan
16,Bursa,1799,Harmancık,[29.1211855005963, 39.6827881077422],bursa-harmancik
16,Bursa,1829,Nilüfer,[28.8206202022691, 40.1812953585765],bursa-nilufer
16,Bursa,1832,Osmangazi,[29.0197966932115, 40.1637495],bursa-osmangazi
16,Bursa,1859,Yıldırım,[29.1360605706836, 40.1790406455017],bursa-yildirim
16,Bursa,1935,Gürsu,[29.2208201927585, 40.2690715978765],bursa-gursu
16,Bursa,1960,Kestel,[29.3158538078913, 40.1849752384009],bursa-kestel
17,Çanakkale,1160,Ayvacık,[26.3744905798158, 39.5815645392677],canakkale-ayvacik
17,Çanakkale,1180,Bayramiç,[26.6711848008187, 39.8332809856993],canakkale-bayramic
17,Çanakkale,1190,Biga,[27.2038220281645, 40.2608205017137],canakkale-biga
17,Çanakkale,1205,Bozcaada,[26.0327592058015, 39.8221507694183],canakkale-bozcaada
17,Çanakkale,1229,Çan,[26.9817026195447, 40.0067344675048],canakkale-can
17,Çanakkale,1230,Çanakkale Merkez,[26.5098372830433, 40.0545415825854],canakkale-canakkale-merkez
17,Çanakkale,1293,Eceabat,[26.3224335835725, 40.2251228073527],canakkale-eceabat
17,Çanakkale,1326,Ezine,[26.2946879261349, 39.792888755248],canakkale-ezine
17,Çanakkale,1340,Gelibolu,[26.7670431577907, 40.5070445],canakkale-gelibolu
17,Çanakkale,1503,Lapseki,[26.7982039534221, 40.2716049731768],canakkale-lapseki
17,Çanakkale,1722,Yenice,[27.2800779070391, 39.8869904674044],canakkale-yenice
17,Çanakkale,9983,Çanakkale Il Geneli,,Çanakkale Il Geneli
18,Çankırı,1232,Çankırı Merkez,[33.7724673623176, 40.5408025493483],cankiri-cankiri-merkez
18,Çankırı,1248,Çerkeş,[32.85668760531, 40.8067420049475],cankiri-cerkes
18,Çankırı,1300,Eldivan,[33.4963606815441, 40.4983992029236],cankiri-eldivan
18,Çankırı,1399,Ilgaz,[33.6074283275693, 40.930206329705],cankiri-ilgaz
18,Çankırı,1494,Kurşunlu,[33.2858871801121, 40.8098380857008],cankiri-kursunlu
18,Çankırı,1555,Orta,[33.0841698080952, 40.5992683723253],cankiri-orta
18,Çankırı,1649,Şabanözü,[33.2973975884395, 40.4665011232738],cankiri-sabanozu
18,Çankırı,1718,Yapraklı,[33.9009136820906, 40.7325093319831],cankiri-yaprakli
18,Çankırı,1765,Atkaracalar,[33.0931641317124, 40.8292102168573],cankiri-atkaracalar
18,Çankırı,1817,Kızılırmak,[33.9665541754552, 40.380978855646],cankiri-kizilirmak
18,Çankırı,1885,Bayramören,[33.1796318560476, 40.9891290192787],cankiri-bayramoren
18,Çankırı,1963,Korgun,[33.4586162498497, 40.7058239768456],cankiri-korgun
19,Çorum,1124,Alaca,[34.900707805443, 40.1556587921241],corum-alaca
19,Çorum,1177,Bayat,[34.2121793139542, 40.6455344394028],corum-bayat
19,Çorum,1259,Çorum Merkez,[34.8626328377126, 40.5052320068637],corum-corum-merkez
19,Çorum,1414,İskilip,[34.4396488041077, 40.7802799832348],corum-iskilip
19,Çorum,1445,Kargı,[34.4981070106169, 41.1618871111131],corum-kargi
19,Çorum,1520,Mecitözü,[35.2979973141205, 40.5105203432661],corum-mecitozu
19,Çorum,1556,Ortaköy,[35.2516934758553, 40.2838998536964],corum-ortakoy
19,Çorum,1558,Osmancık,[34.8088535471636, 41.0135132028176],corum-osmancik
19,Çorum,1642,Sungurlu,[34.3081851302589, 40.2069432539956],corum-sungurlu
19,Çorum,1778,Boğazkale,[34.5659732096928, 40.0369594501308],corum-bogazkale
19,Çorum,1850,Uğurludağ,[34.413405459772, 40.4718581239465],corum-ugurludag
19,Çorum,1911,Dodurga,[34.7382659831346, 40.8457371285738],corum-dodurga
19,Çorum,1972,Laçin,[34.9161207637838, 40.7935642846355],corum-lacin
19,Çorum,9981,Çorum Il Geneli,,Çorum Il Geneli
20,Denizli,1102,Acıpayam,[29.3368370012677, 37.3321811312751],denizli-acipayam
20,Denizli,1214,Buldan,[28.836247731918, 38.0911998410867],denizli-buldan
20,Denizli,1224,Çal,[29.3768318805448, 38.0532592145628],denizli-cal
20,Denizli,1226,Çameli,[29.2758286392058, 37.0316384734237],denizli-cameli
20,Denizli,1233,Çardak,[29.6831136208423, 37.7340025545635],denizli-cardak
20,Denizli,1257,Çivril,[29.8063892564444, 38.2494239940027],denizli-civril
20,Denizli,1371,Güney,[29.0483828220449, 38.160728102392],denizli-guney
20,Denizli,1426,Kale,[28.7854324769523, 37.4279665581823],denizli-kale
20,Denizli,1597,Sarayköy,[28.8789913060453, 37.914645432519],denizli-saraykoy
20,Denizli,1670,Tavas,[29.028596192262, 37.5008344322197],denizli-tavas
20,Denizli,1769,Babadağ,[28.8775101402691, 37.8103847955654],denizli-babadag
20,Denizli,1774,Bekilli,[29.4197617512084, 38.2460793338679],denizli-bekilli
20,Denizli,1803,Honaz,[29.3625956672128, 37.7625841326225],denizli-honaz
